 country_code, year, value 
 AFG, 2021, 1141.0 
 ALB, 2021, 758.0 
 DZA, 2021, 17305.0 
 AND, 2021,  
 AGO, 2021, 128292.0 
 ATG, 2021,  
 ARG, 2021, 101200.0 
 ARM, 2021,  
 AUS, 2021,  
 AUT, 2021,  
 AZE, 2021, 6218.0 
 BHS, 2021, 3047.0 
 BHR, 2021, 271.0 
 BGD, 2021, 4565.0 
 BRB, 2021, 1440.0 
 BLR, 2021, 19888.0 
 BEL, 2021,  
 BLZ, 2021, 1660.0 
 BEN, 2021, 57667.0 
 BTN, 2021, 561.0 
 BOL, 2021, 14568.0 
 BIH, 2021,  
 BWA, 2021, 334351.0 
 BRA, 2021, 695094.0 
 BRN, 2021,  
 BGR, 2021, 1923.0 
 BFA, 2021, 74340.0 
 BDI, 2021, 73798.0 
 CPV, 2021, 2847.0 
 KHM, 2021, 62561.0 
 CMR, 2021, 388358.0 
 CAN, 2021,  
 CAF, 2021, 56123.0 
 TCD, 2021, 82755.0 
 CHL, 2021, 57078.0 
 CHN, 2021, 1063303.0 
 COL, 2021, 127410.0 
 COM, 2021, 90.0 
 COG, 2021, 29487.0 
 COK, 2021,  
 CRI, 2021, 11084.0 
 CIV, 2021, 289135.0 
 HRV, 2021, 1349.0 
 CUB, 2021, 26130.0 
 CYP, 2021,  
 CZE, 2021,  
 PRK, 2021,  
 COD, 2021, 444499.0 
 DNK, 2021,  
 DJI, 2021, 1864.0 
 DMA, 2021,  
 DOM, 2021, 43251.0 
 ECU, 2021, 34538.0 
 EGY, 2021, 12311.0 
 SLV, 2021, 14700.0 
 GNQ, 2021, 27541.0 
 ERI, 2021, 8775.0 
 EST, 2021,  
 SWZ, 2021, 199947.0 
 ETH, 2021, 480264.0 
 FJI, 2021, 647.0 
 FIN, 2021,  
 FRA, 2021,  
 GAB, 2021, 25375.0 
 GMB, 2021, 8695.0 
 GEO, 2021, 5746.0 
 DEU, 2021,  
 GHA, 2021, 245223.0 
 GRC, 2021, 11563.0 
 GRD, 2021,  
 GTM, 2021, 22466.0 
 GIN, 2021, 64773.0 
 GNB, 2021, 17609.0 
