country_code;year;value
ALB;2014;1.0
BIH;2014;1.0
IRQ;2014;1.0
AZE;2014;1.0
IDN;2014;1.0
GIN;2014;1.0
SDN;2014;1.0
SOM;2014;1.0
TCD;2014;1.0
LKA;2014;1.0
MNE;2014;2.0
WSM;2014;2.0
IRN;2014;2.0
CHN;2014;2.0
VNM;2014;2.0
IND;2014;2.0
SSD;2014;2.0
NPL;2014;2.0
BEN;2014;3.0
CAF;2014;3.0
LBN;2014;3.0
AFG;2014;3.0
THA;2014;3.0
MDV;2014;3.0
HTI;2014;3.0
TJK;2014;3.0
CRI;2014;3.0
BGR;2014;3.0
MAR;2014;3.0
GTM;2014;4.0
VCT;2014;4.0
LAO;2014;4.0
UKR;2014;4.0
LTU;2014;4.0
MNG;2014;4.0
GMB;2014;4.0
MLI;2014;5.0
SLB;2014;5.0
COD;2014;5.0
DJI;2014;6.0
FSM;2014;6.0
KGZ;2014;6.0
ETH;2014;6.0
GEO;2014;7.0
ERI;2014;7.0
DZA;2014;7.0
RWA;2014;8.0
MWI;2014;8.0
CHL;2014;8.0
NGA;2014;8.0
DOM;2014;8.0
PNG;2014;8.0
LCA;2014;9.0
MOZ;2014;9.0
KHM;2014;9.0
TLS;2014;9.0
COM;2014;10.0
GHA;2014;10.0
VUT;2014;10.0
ZAF;2014;11.0
GNB;2014;11.0
HND;2014;11.0
BRA;2014;11.0
GUY;2014;12.0
CIV;2014;12.0
MDG;2014;12.0
KIR;2014;12.0
NER;2014;13.0
BDI;2014;14.0
BLR;2014;14.0
LBR;2014;15.0
MUS;2014;15.0
TZA;2014;16.0
COG;2014;16.0
MHL;2014;16.0
ATG;2014;16.0
ZWE;2014;16.0
CPV;2014;16.0
TGO;2014;16.0
UGA;2014;17.0
FJI;2014;17.0
SEN;2014;18.0
SLV;2014;18.0
BFA;2014;19.0
SLE;2014;19.0
TON;2014;21.0
LSO;2014;21.0
ZMB;2014;22.0
NAM;2014;22.0
PRY;2014;23.0
DMA;2014;24.0
PLW;2014;27.0
BOL;2014;27.0
CMR;2014;27.0
COK;2014;28.0
NIC;2014;29.0
BTN;2014;34.0
KEN;2014;35.0
SWZ;2014;36.0
PER;2014;36.0
MYS;2014;38.0
MDA;2014;40.0
STP;2014;42.0
BWA;2014;49.0
ARG;2014;55.0
SYC;2014;71.0
TUV;2014;116.0
NRU;2014;210.0
AGO;2014;
BGD;2014;
BLZ;2014;
COL;2014;
CUB;2014;
ECU;2014;
EGY;2014;
GAB;2014;
GRD;2014;
JAM;2014;
JOR;2014;
KAZ;2014;
LVA;2014;
LBY;2014;
MRT;2014;
MEX;2014;
MMR;2014;
NIU;2014;
PAK;2014;
PAN;2014;
PHL;2014;
ROU;2014;
RUS;2014;
SRB;2014;
SUR;2014;
SYR;2014;
MKD;2014;
TUN;2014;
TUR;2014;
TKM;2014;
URY;2014;
UZB;2014;
VEN;2014;
YEM;2014;
