country_code;year;value
AFG;2021;530.0
ALB;2021;100.0
DZA;2021;500.0
AND;2021;
AGO;2021;15000.0
ATG;2021;
ARG;2021;1300.0
ARM;2021;
AUS;2021;100.0
AUT;2021;
AZE;2021;200.0
BHS;2021;100.0
BHR;2021;100.0
BGD;2021;500.0
BRB;2021;100.0
BLR;2021;200.0
BEL;2021;
BLZ;2021;200.0
BEN;2021;1600.0
BTN;2021;100.0
BOL;2021;500.0
BIH;2021;
BWA;2021;4600.0
BRA;2021;13000.0
BRN;2021;
BGR;2021;100.0
BFA;2021;2000.0
BDI;2021;1400.0
CPV;2021;100.0
KHM;2021;1100.0
CMR;2021;13000.0
CAN;2021;
CAF;2021;2600.0
TCD;2021;2700.0
CHL;2021;
CHN;2021;
COL;2021;1700.0
COM;2021;100.0
COG;2021;7400.0
COK;2021;
CRI;2021;200.0
CIV;2021;8800.0
HRV;2021;100.0
CUB;2021;500.0
CYP;2021;100.0
CZE;2021;
PRK;2021;
COD;2021;14000.0
DNK;2021;100.0
DJI;2021;500.0
DMA;2021;
DOM;2021;2300.0
ECU;2021;500.0
EGY;2021;560.0
SLV;2021;600.0
GNQ;2021;2300.0
ERI;2021;500.0
EST;2021;
SWZ;2021;2600.0
ETH;2021;12000.0
FJI;2021;100.0
FIN;2021;
FRA;2021;720.0
GAB;2021;2000.0
GMB;2021;1300.0
GEO;2021;100.0
DEU;2021;
GHA;2021;9900.0
GRC;2021;100.0
GRD;2021;
GTM;2021;730.0
GIN;2021;3900.0
GNB;2021;1700.0
GUY;2021;200.0
HTI;2021;1500.0
HND;2021;770.0
HUN;2021;
ISL;2021;100.0
IND;2021;42000.0
IDN;2021;26000.0
IRN;2021;3500.0
IRQ;2021;
IRL;2021;100.0
ISR;2021;
ITA;2021;500.0
JAM;2021;770.0
JPN;2021;
JOR;2021;
KAZ;2021;200.0
KEN;2021;22000.0
KIR;2021;
KWT;2021;
KGZ;2021;500.0
LAO;2021;500.0
LVA;2021;100.0
LBN;2021;100.0
LSO;2021;4500.0
LBR;2021;1100.0
LBY;2021;200.0
LTU;2021;100.0
LUX;2021;100.0
MDG;2021;2900.0
MWI;2021;13000.0
MYS;2021;1600.0
MDV;2021;
MLI;2021;4100.0
MLT;2021;
MHL;2021;
MRT;2021;500.0
MUS;2021;
MEX;2021;4600.0
FSM;2021;
MCO;2021;
MNG;2021;100.0
MNE;2021;100.0
MAR;2021;500.0
MOZ;2021;
MMR;2021;6600.0
NAM;2021;2900.0
NRU;2021;
NPL;2021;510.0
NLD;2021;100.0
NZL;2021;100.0
NIC;2021;500.0
NER;2021;910.0
NGA;2021;51000.0
NIU;2021;
MKD;2021;
NOR;2021;100.0
OMN;2021;100.0
PAK;2021;9600.0
PLW;2021;
PAN;2021;
PNG;2021;530.0
PRY;2021;500.0
PER;2021;940.0
PHL;2021;1200.0
POL;2021;
PRT;2021;500.0
QAT;2021;100.0
KOR;2021;
MDA;2021;500.0
ROU;2021;500.0
RUS;2021;
RWA;2021;2400.0
KNA;2021;
LCA;2021;
VCT;2021;
WSM;2021;
SMR;2021;
STP;2021;
SAU;2021;
SEN;2021;1000.0
SRB;2021;100.0
SYC;2021;
SLE;2021;3000.0
SGP;2021;100.0
SVK;2021;100.0
SVN;2021;
SLB;2021;
SOM;2021;500.0
ZAF;2021;51000.0
SSD;2021;8000.0
ESP;2021;840.0
LKA;2021;100.0
SDN;2021;1900.0
SUR;2021;
SWE;2021;
CHE;2021;200.0
SYR;2021;100.0
TJK;2021;200.0
THA;2021;9300.0
GBR;2021;
TLS;2021;100.0
TGO;2021;2600.0
TON;2021;
TTO;2021;500.0
TUN;2021;500.0
TUR;2021;
TKM;2021;
TUV;2021;
UGA;2021;17000.0
UKR;2021;2800.0
ARE;2021;
TZA;2021;29000.0
USA;2021;
URY;2021;500.0
UZB;2021;680.0
VUT;2021;
VEN;2021;2300.0
VNM;2021;3500.0
YEM;2021;500.0
ZMB;2021;19000.0
ZWE;2021;20000.0
AFG;2020;500.0
ALB;2020;100.0
DZA;2020;500.0
AND;2020;
AGO;2020;16000.0
ATG;2020;
ARG;2020;1400.0
ARM;2020;
AUS;2020;100.0
AUT;2020;
AZE;2020;200.0
BHS;2020;100.0
BHR;2020;100.0
BGD;2020;500.0
BRB;2020;100.0
BLR;2020;200.0
BEL;2020;
BLZ;2020;200.0
BEN;2020;1800.0
BTN;2020;100.0
BOL;2020;500.0
BIH;2020;
BWA;2020;4800.0
BRA;2020;13000.0
BRN;2020;
BGR;2020;100.0
BFA;2020;2400.0
BDI;2020;1500.0
CPV;2020;100.0
KHM;2020;1200.0
